Txhash,ContractAddress,ContractName
0xff6d275686acb858854358839c7bfe67f713345c212f30c3cc63f1af4abc3fd8,0x0d24914029f017c8e3f5903b466c8f4fe3ff29d0,MAMBASTAKE
0xc0b0540e0fbc9c8cf848788582bc07a18ebfcb3f7752ab750b56e132d0fb33e7,0xBEcdC0946F21550B418152de05bbCF49D30b92aA,Reward
0x009bca4723d2d73970bf0b50ddb5f908f874822d7f443ad76be4530e912ab5ce,0x4e947fe57a251de8309efb360ae034f72f40cd0f,REFLECT
0xb166b044ce3c9cfc19746598e369fa3cd36a6a98ac7af5f0541875260c90c387,0x8b60c8afe02379c9fb1a882e0e039215dcadc895,EDuPlatformXcoin
0xd1e7a0c3ffeef94ef7a0637b023a13677d531a50379689d217ba97796e1ca40e,0x67e4aC1A1e1e61422763351834d3d01848C0A45F,Crowdsale
0xc74b43dcc1a8e9a04ef19435a87bddcdad4dc6ff909d030f750a916ab5515701,0x2f175fadd61fb47ed1a8e3d3863c86471079821d,TwoPercent
0xa72c9218be397649c120af1469cc3aaa55d4f611d9ce20c290a9a60bd0d6fcdb,0x3f7904f4ac4d002277f55ba5c24fd24b1b51aa15,RSLToken
0x98d62b3d430a9f38d1c6536209c4da418cc598995547e4e4c3de387e80f3e5dd,0xa767f745331D267c7751297D982b050c93985627,AccessControlledAggregator
0x445c01a38b525aa6edc8d4559225db40fd8eae355d2e799fcd5230f2c9ef64d0,0x5B7D5B89d8f30AD8feB61A747693Bf25C60BE742,ClaimToken
0xf9994409ea45ce2ccc99f59a7954bb4caf44d87fef02e55617a1b20ab844bf87,0x1B290c498aD2CD63A3fd90568b8c357Adfe935c8,ColorMaster
0xa05e9688d345bbde457524c7a191eb5187d4ae65fd5ed188b9ef16919762cece,0xec681f28f4561c2a9534799aa38e0d36a83cf478,YvsToken
0x52e8b89a0231001e7ec74c5bac06b080075f9ed1e0546ce7e0fd168bb3311c80,0x1de515fa7e0834fa07bd7ff4a15fe7869ea4eb7e,ValueIOUClaim
0x981096f31f33e1f4e16b837e5b9b320bac1539ce7a474c2b73257faefe340a5e,0xf2f346fde8b77738d349d4a5c8499383011f375a,ERC20
0xdccd10e65f00b0fa0f4df3b884816442428e26ca3fdfc268906c8b00d32254ff,0xac27423fE4394a7196020EF4e9fD0A6A73fA744c,Token
